,CRASH REPORT NUMBER,CRASH DATE,CRASH YEAR,MONTH,DAY OF MONTH,DAY OF WEEK,TIME OF CRASH,HOUR OF CRASH,COUNTY,CRASH LOCATION (CITY OR RURAL),REPORTING AGENCY,STREET,STREET LOCATION,PRIMARY STREET,SECONDARY STREET,CRASH SEVERITY,CRASH CLASSIFICATION,CRASH ANALYSIS,HIGHEST CONTRIBUTING FACTOR TO CRASH,NUMBER OF PEOPLE IN CRASH,NUMBER OF PEOPLE KILLED,NUMBER OF PEOPLE WITH INCAPACITATING INJURIES,NUMBER OF PEOPLE WITH VISIBLE INJURIES,NUMBER OF PEOPLE WITH NON-VISIBLE INJURIES,NUMBER OF PEOPLE NOT INJURED,NUMBER OF VEHICLES INVOLVED,ALCOHOL INVOLVEMENT,DRUG INVOLVEMENT,PEDESTRIAN INVOLVEMENT,MOTORCYCLE INVOLVEMENT,PEDALCYCLE INVOLVEMENT,HEAVY TRUCK INVOLVEMENT,HAZARDOUS MATERIAL INVOLVEMENT,LIGHTING,WEATHER,HIT AND RUN CRASH,MAXIMUM VEHICLE DAMAGE,HIGHEST ENFORCEMENT ACTION,STATE HIGHWAY DEPT. PROPERTY,"ROAD SYSTEM--RURAL, URBAN, OR INTERSTATE",HIGHWAY ELEMENT,FIRST HARMFUL EVENT OCCURRED,ROAD CHARACTER,ROAD GRADE,DIRECTION OF VEHICLE WITH HIGHEST CONTRIBUTING FACTOR,DIRECTION FROM INTERSECTION,FEET FROM INTERSECTION,MILES FROM INTERSECTION,AMBULANCE NAME,UTM_X,UTM_Y,WGS_X,WGS_Y,MERGED STREETS
10,130227,1/24/94,1994,January,24,Monday,745,7,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,MONTCLAIRE DR SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Failed to Yield Right of Way,5,0,0,0,1,4,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Functional,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.599,35.0766,"LEAD AVE SE, MONTCLAIRE DR SE"
11,130439,1/24/94,1994,January,24,Monday,1710,17,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD,SECONDARY,RICHMOND DR SE,LEAD AVE SE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Driver Inattention,3,0,0,0,0,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,,,"RICHMOND DR SE, LEAD AVE SE"
12,130357,1/24/94,1994,January,24,Monday,1311,13,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,OAK ST SE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,Yes,Appearance,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,On Grade,,UNKNOWN OR N/A,0,0,,,,-106.6368,35.0796,"LEAD AVE SE, OAK ST SE"
13,130447,1/24/94,1994,January,24,Monday,1735,17,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD,PRIMARY,LEAD AVE SE,RICHMOND DR SE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Driver Inattention,4,0,0,0,0,4,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,No,Appearance,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.6108,35.0773,"LEAD AVE SE, RICHMOND DR SE"
14,213683,1/26/94,1994,January,26,Wednesday,1240,12,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,BROADWAY BLVD SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,5,0,0,0,3,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Functional,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.6452,35.0807,"LEAD AVE SE, BROADWAY BLVD SE"
15,216432,1/26/94,1994,January,26,Wednesday,1608,16,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,HIGH ST SE,Injury Crash,Other Vehicle,Non-Intersection - One Vehicle/Enter Driveway Access,Made Improper Turn,5,0,1,0,0,4,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,DRIVEWAY ACCESS,On Roadway,STRAIGHT,On Grade,,WEST,197,0,ALB AMB,,,-106.6404,35.0801,"LEAD AVE SE, HIGH ST SE"
16,129454,1/29/94,1994,January,29,Saturday,1420,14,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,CARLISLE BLVD SE,LEAD AVE SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,6,0,1,0,0,5,3,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,AMB,,,-106.6045,35.0772,"CARLISLE BLVD SE, LEAD AVE SE"
17,213329,1/31/94,1994,January,31,Monday,835,8,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,WELLESLEY DR SE,Injury Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Following Too Closely,4,0,1,0,1,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,On Grade,,EAST,10,0,ALBQ AMB,,,-106.608,35.0773,"LEAD AVE SE, WELLESLEY DR SE"
18,219639,2/7/94,1994,February,7,Monday,1700,17,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD,PRIMARY,LEAD AVE SE,CEDAR ST SE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Failed to Yield Right of Way,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,On Grade,,UNKNOWN OR N/A,0,0,,,,-106.634,35.0793,"LEAD AVE SE, CEDAR ST SE"
19,215318,2/7/94,1994,February,7,Monday,1730,17,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD,SECONDARY,CEDAR ST SE,LEAD AVE SE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.634,35.0793,"CEDAR ST SE, LEAD AVE SE"
20,219459,2/8/94,1994,February,8,Tuesday,1430,14,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD,PRIMARY,LEAD AVE SE,BUENA VISTA DR SE,Property Damage Only Crash,Other (Object),Other Object - Object Dropped From Other Vehicle (Not Motion),Road Defect,1,0,0,0,0,1,1,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,,U,9998,0,,,,-106.624,35.078,"LEAD AVE SE, BUENA VISTA DR SE"
21,213730,2/8/94,1994,February,8,Tuesday,1626,16,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,MORNINGSIDE DR SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Left Turn,Other Improper Driving,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.6,35.077,"LEAD AVE SE, MORNINGSIDE DR SE"
22,213541,2/10/94,1994,February,10,Thursday,1015,10,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,SOLANO DR SE,Injury Crash,Other Vehicle,Intersection - From Same Direction/One Left Turn,Made Improper Turn,2,0,1,1,0,0,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,ALB AMB,,,-106.6022,35.0773,"LEAD AVE SE, SOLANO DR SE"
23,142613,2/11/94,1994,February,11,Friday,15,0,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,COLUMBIA DR SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,2,0,0,0,1,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,No,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.617,35.0773,"LEAD AVE SE, COLUMBIA DR SE"
24,220065,2/11/94,1994,February,11,Friday,1751,17,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SW,2ND ST SW,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Driver Inattention,3,0,0,0,0,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dusk,Clear,No,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.6498,35.0813,"LEAD AVE SW, 2ND ST SW"
25,226606,2/12/94,1994,February,12,Saturday,1103,11,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,RICHMOND DR SE,LEAD AVE SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Failed to Yield Right of Way,5,0,1,0,0,4,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,ALB AMB,,,,,"RICHMOND DR SE, LEAD AVE SE"
26,130452,2/12/94,1994,February,12,Saturday,1706,17,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,COLUMBIA DR SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,2,0,1,0,0,1,2,Not Involved,,Not Involved,Not Involved,Involved,Not Involved,Not Involved,Daylight,Clear,Yes,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,ALB AMB,,,-106.617,35.0773,"LEAD AVE SE, COLUMBIA DR SE"
27,100040,2/16/94,1994,February,16,Wednesday,1700,17,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,BUENA VISTA DR SE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.624,35.078,"LEAD AVE SE, BUENA VISTA DR SE"
28,214016,2/24/94,1994,February,24,Thursday,1850,18,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD,PRIMARY,LEAD AVE SE,GIRARD BLVD SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Left Turn,Made Improper Turn,3,0,0,0,0,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,No,Appearance,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.6133,35.0773,"LEAD AVE SE, GIRARD BLVD SE"
29,175273,3/5/94,1994,March,5,Saturday,1617,16,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,CEDAR ST SE,Property Damage Only Crash,Fixed Object,Fixed Object - Median Raised Or Curb,None,2,0,0,0,0,2,1,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,NON-INTERSECTION,Off Roadway,STRAIGHT,On Grade,,U,9998,0,,,,-106.634,35.0793,"LEAD AVE SE, CEDAR ST SE"
30,130455,3/6/94,1994,March,6,Sunday,1449,14,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,ASH ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Left Turn,Made Improper Turn,3,0,0,0,0,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.63,35.0787,"LEAD AVE SE, ASH ST SE"
31,213527,3/7/94,1994,March,7,Monday,1319,13,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,DARTMOUTH DR SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Alcohol/Drug Involved,4,0,0,0,2,2,2,Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,Yes,Disabling,BOOKED,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,AAS,,,-106.612,35.0773,"LEAD AVE SE, DARTMOUTH DR SE"
32,344884,3/8/94,1994,March,8,Tuesday,930,9,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD,PRIMARY,LEAD AVE SE,MORNINGSIDE DR SE,Injury Crash,Other Vehicle,Non-Intersection - From Same Direction/Rear End Collision,Driver Inattention,6,0,0,0,1,5,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Disabling,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,,SOUTH,300,0,,,,-106.6,35.077,"LEAD AVE SE, MORNINGSIDE DR SE"
33,174863,3/9/94,1994,March,9,Wednesday,1523,15,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,WASHINGTON ST SE,LEAD AVE SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,2,0,0,0,1,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,Yes,Appearance,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,,,"WASHINGTON ST SE, LEAD AVE SE"
34,344894,3/10/94,1994,March,10,Thursday,1850,18,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD,SECONDARY,YALE BLVD SE,LEAD AVE SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Driver Inattention,3,0,0,0,0,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,,U,9998,0,,,,-106.6221,35.0775,"YALE BLVD SE, LEAD AVE SE"
35,345331,3/10/94,1994,March,10,Thursday,801,8,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,STANFORD DR SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Failed to Yield Right of Way,2,0,0,0,1,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.6183,35.0773,"LEAD AVE SE, STANFORD DR SE"
36,129455,3/12/94,1994,March,12,Saturday,950,9,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,CEDAR ST SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - One Vehicle/Enter Driveway Access,Improper Lane Change,3,0,0,0,0,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Raining,No,Appearance,CITATION,,Urban,DRIVEWAY ACCESS,On Roadway,STRAIGHT,Level,,WEST,100,0,,,,-106.634,35.0793,"LEAD AVE SE, CEDAR ST SE"
37,849544,3/13/94,1994,March,13,Sunday,1700,17,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,OAK ST SE,LEAD AVE SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,3,0,0,0,1,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,ALB AMB,,,-106.6368,35.0796,"OAK ST SE, LEAD AVE SE"
38,164430,3/13/94,1994,March,13,Sunday,1440,14,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD,PRIMARY,LEAD AVE SE,STANFORD DR SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Sideswipe Collision,Improper Lane Change,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,,U,9998,0,,,,-106.6183,35.0773,"LEAD AVE SE, STANFORD DR SE"
39,226784,3/14/94,1994,March,14,Monday,1711,17,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,OAK ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Following Too Closely,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,,EAST,10,0,,,,-106.6368,35.0796,"LEAD AVE SE, OAK ST SE"
